题目编号,问题类型,详情
S11-⑤-010,cognitive_type_invalid,值='single'
S08-⑤-003,empty_history,对话历史无可解析 turn
S08-⑤-005,empty_history,对话历史无可解析 turn
S08-⑤-007,empty_history,对话历史无可解析 turn
S08-⑤-009,empty_history,对话历史无可解析 turn
S08-⑤-011,empty_history,对话历史无可解析 turn
S02-⑤-001,fact_distribution_invalid,值='—'
S04-⑤-001,fact_distribution_invalid,值='—'
S04-⑤-002,fact_distribution_invalid,值='—'
S06-⑤-001,fact_distribution_invalid,值='—'
S10-⑤-001,fact_distribution_invalid,值='—'
S10-⑤-004,fact_distribution_invalid,值=''
S11-⑤-001,fact_distribution_invalid,值='—'
S11-⑤-003,fact_distribution_invalid,值='—'
S11-⑤-004,fact_distribution_invalid,值=''
S11-⑤-006,fact_distribution_invalid,值=''
S11-⑤-010,fact_distribution_invalid,值='延续哲学反问风格，衔接昨日“努力的意义”，不灌鸡汤'
S08-④-005,gold_empty,gold_memory 为空
S08-④-007,gold_empty,gold_memory 为空
S08-④-008,gold_empty,gold_memory 为空
S01-⑤-003,gold_in_current_session,当场题：gold 位于 T+0（要挺直腰板，才能像腕龙一样高哦！），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S02-④-003,gold_in_current_session,当场题：gold 位于 T+0（可以，调到3.5），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S02-④-004,gold_in_current_session,当场题：gold 位于 T+0（我怕看不清），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S02-④-005,gold_in_current_session,当场题：gold 位于 T+0（调到4.0了，不舒服说一声），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S02-⑤-003,gold_in_current_session,当场题：gold 位于 T+0（就像跑步一样，一步步加速才不容易摔跤），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S02-⑤-005,gold_in_current_session,当场题：gold 位于 T+0（我们先往后坐一点点？就一个小拇指的距离。），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S02-⑤-006,gold_in_current_session,当场题：gold 位于 T+0（这就像健身，找到自己能承受的重量才最重要。），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S02-⑤-007,gold_in_current_session,当场题：gold 位于 T+0（最后这一段慢慢来。），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S02-⑤-008,gold_in_current_session,当场题：gold 位于 T+0（你简直就是‘远眺勇士’！），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S02-⑤-009,gold_in_current_session,当场题：gold 位于 T+0（记得上次你怕看不清，但试了发现还行。），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S03-④-002,gold_in_current_session,当场题：gold 位于 T+0（那闭上眼睛，小可陪你安静一会儿？），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S03-④-006,gold_in_current_session,当场题：gold 位于 T+0（闭眼吧，今天心情不好），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S03-④-007,gold_in_current_session,当场题：gold 位于 T+0（还是闭眼听首歌？），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S03-⑤-002,gold_in_current_session,当场题：gold 位于 T+0（让眼睛去看看窗外的颜色，说不定能发现新的配色灵感！），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S03-⑤-004,gold_in_current_session,当场题：gold 位于 T+0（那闭眼数三下好不好？就三下），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S03-⑤-005,gold_in_current_session,当场题：gold 位于 T+0（闭眼十秒也行。），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S04-④-010,gold_in_current_session,当场题：gold 位于 T+0（小虎，太棒了！我记住啦。），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S06-④-009,gold_in_current_session,当场题：gold 位于 T+0（不是为了别人，是你自己今天的小目标。成功了！），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S06-⑤-004,gold_in_current_session,当场题：gold 位于 T+0（昨天说要三个全做完，第一个已经搞定了！），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S06-⑤-010,gold_in_current_session,当场题：gold 位于 T+0（离昨天说的‘全做完’就差一步），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S06-⑤-011,gold_in_current_session,当场题：gold 位于 T+0（小星是闪电侠吗？这么快！），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S07-⑤-004,gold_in_current_session,当场题：gold 位于 T+0（我昨天画了一只猫，妈妈说像猪），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S09-⑤-007,gold_in_current_session,当场题：gold 位于 T+0（你让我坐远我就不用了。），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S10-④-005,gold_in_current_session,当场题：gold 位于 T+0（有机化学好难），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
